Threads	MichaelScottQueue-HazardPointers	MichaelScottQueue-PassTheBuck	MichaelScottQueue-PassThePointer	MichaelScottQueue-TagThePointer	MichaelScottQueue-OrcGC	LCRQueue-HazardPointers	LCRQueue-PassTheBuck	LCRQueue-PassThePointer	LCRQueue-TagThePointer	LCRQueue-OrcGC	TurnQueue-HazardPointers	TurnQueue-PassTheBuck	TurnQueue-PassThePointer	TurnQueue-TagThePointer	TurnQueue-OrcGC	
1	11609160	3812832	11198116	10307508	6691339	29043394	28931601	26977275	23526204	24278063	6852447	2898311	6703390	6257135	2962831	
2	4730941	1982159	4563086	3562562	1605691	7509598	8726613	7147081	8522605	9303766	1965765	1594852	2101688	1821305	1711633	
4	4259584	3222801	3648560	3406032	3031948	13347125	11247178	10615102	10505529	13073595	1807070	2106164	1869593	1840186	1591765	
8	3796696	4670827	3997407	3920937	4834564	17133826	17729089	16975791	16977042	19839729	1082549	1260710	1196944	1174377	965304	
16	3187048	3089814	3572299	3813740	3535363	19432371	19491972	20937621	23302330	22697174	727879	781718	772566	763459	702931	
32	1819586	1606940	1867088	1814036	1639561	27629658	27588964	27283458	25843474	31899165	672857	656078	679358	675970	753810	
40	1697121	1567303	1923878	1885966	1625952	31172820	33185883	27589367	28638225	37733343	683370	641678	675262	713981	768440	
48	1764879	1563602	1704753	1929010	1514199	31438497	33347930	34508829	27708105	38654793	705566	704445	687717	725360	873004	
64	1784767	1586393	1688535	1792892	1533680	36121191	33231551	36443760	30003840	43800860	675474	656429	690310	703962	916089	
80	1850265	1687039	1791475	1996117	1516768	36968183	32216933	38763574	39873103	43743129	690336	671983	704475	708459	924299	
