Threads	MichaelScottQueue-HazardPointers	MichaelScottQueue-PassTheBuck	MichaelScottQueue-PassThePointer	MichaelScottQueue-TagThePointer	MichaelScottQueue-OrcGC	LCRQueue-HazardPointers	LCRQueue-PassTheBuck	LCRQueue-PassThePointer	LCRQueue-TagThePointer	LCRQueue-OrcGC	TurnQueue-HazardPointers	TurnQueue-PassTheBuck	TurnQueue-PassThePointer	TurnQueue-TagThePointer	TurnQueue-OrcGC	
1	10899554	1909217	9044174	8129628	5643420	31736576	30201773	30114915	22280000	28404293	5817286	1676843	5586511	5081248	2756426	
2	3699305	922544	3962077	2985314	1675191	14975441	15049855	12674789	12612680	11953314	1417553	1088281	1101380	1173722	1840751	
4	2256996	1286096	2004627	1707041	2326820	12369731	8958651	7091753	7767597	9315605	951318	1189055	997631	1243897	1093623	
8	1041057	1115327	1046013	1253957	1722083	9518515	9662630	7815222	8795365	9353972	562495	564701	553348	541475	650845	
16	721496	730538	651307	636667	703160	14274976	15618948	13179587	14631624	10810557	281105	285620	278159	266533	246759	
32	583459	555578	590794	525549	584407	24818742	33805062	29126347	32524580	30116469	253401	252709	255495	235832	258991	
48	569200	531110	566838	557275	569462	24656401	23614561	22511894	22580913	22182457	248032	247242	250216	240426	331730	
64	540452	533018	576809	567881	511614	29260516	29660173	26494434	28005046	27134195	243811	245470	246677	256032	356358	
96	572745	539066	586737	592788	509294	35963514	36485490	35888490	37738632	35703427	252333	256238	254894	256479	352541	
128	561855	552454	586972	623307	499418	41073823	39761568	42720519	42977189	38713113	253865	257264	254381	250767	375868	
